Meeting,Race Number,Distance,Tab No,Horse,Horseid,Weight,Barrier,Jockey,Jockeyid,Trainer,Trackcondition,Class Change,Hist Run Style,Settling Pos,Neural,age restrictions,Race Cl,Limitweight,sex restrictions,Weighttype,Age,Rno,Sex,Margin,LSFinPos,LSSP,Pricebf,MarketRank,Starters
Ascot,1,1100.0,1,Scenic George,994666.0,57.0,3.0,Clinton Porter,15478,D & B Pearce,Good,0.4,bm,1.0,1.0,2yo,Open,0.0,,Set Weight With Penalties,2.0,1.0,Gelding,6.9,6.0,21.0,5.69,2.0,7
Ascot,1,1100.0,2,Ah Kum,996016.0,57.0,6.0,Lucy Warwick,15372,Ms S L Miller,Good,0.0,no data,99.0,6.0,,Open,,,,,,,,,,9.48,5.0,7
Ascot,1,1100.0,3,Battle Commander,995261.0,57.0,2.0,Craig Staples,10647,P H Jordan,Good,0.0,no data,99.0,5.0,,Open,,,,,,,,,,13.96,6.0,7
Ascot,1,1100.0,4,Onemoretwomany,995825.0,57.0,7.0,Brad Parnham,13271,N D Parnham,Good,0.0,no data,99.0,7.0,,Open,,,,,,,,,,2.62,1.0,7
Ascot,1,1100.0,5,Think Lika Winner,984048.0,55.5,5.0,Brandon Louis,16166,E A Martinovich,Good,0.0,no data,99.0,4.0,,Open,,,,,,,,,,8.67,4.0,7
Ascot,1,1100.0,6,Aphrodite Magic,993175.0,55.0,1.0,Jade Mc Naught,16126,S & J Casey,Good,0.0,no data,99.0,2.0,,Open,,,,,,,,,,7.88,3.0,7
Ascot,1,1100.0,7,Snipperando,987095.0,55.0,4.0,Joseph Azzopardi,14814,Ryan Hill,Good,0.0,no data,99.0,3.0,,Open,,,,,,,,,,42.93,7.0,7
Ascot,2,1200.0,1,Snow Prince,975545.0,57.5,4.0,Madi Derrick,16504,S & J Casey,Good,12.4,op/mf,2.0,1.0,3yo,Open,0.0,,Set Weight With Penalties,3.0,8.0,Gelding,3.3,9.0,9.5,6.53,3.0,7
Ascot,2,1200.0,2,Home James,978306.0,58.0,6.0,Brad Parnham,13271,N D Parnham,Good,-0.2,mf/bm,5.0,6.0,3yo,Open,0.0,,Set Weight With Penalties,3.0,7.0,Gelding,5.8,5.0,61.0,25.78,7.0,7
Ascot,2,1200.0,3,Barneys World,990002.0,56.0,3.0,Luke Campbell,16928,Luke Fernie,Good,22.6,mf,3.0,2.0,3yo,Open,0.0,,Set Weight With Penalties,3.0,5.0,Gelding,0.2,2.0,2.25,7.77,4.0,7
Ascot,2,1200.0,4,Sonoftheboss,970561.0,56.0,5.0,Jason Brown,1236,J P Taylor,Good,24.7,l,1.0,5.0,3yo,Open,0.0,,Set Weight With Penalties,3.0,2.0,Gelding,2.1,1.0,3.9,15.81,6.0,7
Ascot,2,1200.0,5,Venturo,993768.0,56.0,1.0,Clinton Porter,15478,D L Morton,Good,14.5,bm,6.0,4.0,3yo,Open,0.0,,Set Weight With Penalties,3.0,1.0,Colt,3.7,6.0,4.0,15.52,5.0,7
Ascot,2,1200.0,6,The Boss Lady,986599.0,55.0,2.0,Chris Parnham,15179,M L Lane,Good,8.8,mf,4.0,3.0,3yo,Open,0.0,,Set Weight With Penalties,3.0,3.0,Filly,0.4,1.0,10.0,3.64,2.0,7
Ascot,2,1200.0,8,Run Pattie Run,972091.0,54.0,7.0,William Pike,12691,Ms R L Williams,Good,24.7,bm,7.0,7.0,3yo,Open,0.0,,Set Weight With Penalties,3.0,1.0,Filly,0.3,1.0,4.2,3.61,1.0,7
Ascot,3,2200.0,1,Stylax,936986.0,58.5,5.0,Brandon Louis,16166,F R Kersley,Good,0.0,mf/bm,5.0,2.0,3yo+,BM66+,55.0,,Handicap,6.0,25.0,Gelding,2.3,8.0,14.0,11.37,5.0,9
Ascot,3,2200.0,2,Strike Now,917861.0,55.5,2.0,Brayden Gaerth,15260,J F Miller,Good,0.0,bm,7.0,5.0,3yo+,BM66+,55.0,,Handicap,5.0,22.0,Gelding,1.6,7.0,4.2,6.44,2.0,9
Ascot,3,2200.0,3,Friar Away,861061.0,54.5,9.0,Rosie Mahoney,16689,Ms J Erkelens,Good,0.0,bm,8.0,8.0,3yo+,BM66+,55.0,,Handicap,10.0,64.0,Gelding,2.3,6.0,26.0,31.69,8.0,9
Ascot,3,2200.0,4,Bernbrae,967127.0,53.0,4.0,Zephen Johnston-Porter,17062,A G Durrant,Good,-8.2,mf/bm,4.0,3.0,3yo+,BM66+,55.0,,Handicap,4.0,11.0,Mare,1.9,5.0,14.0,7.2,3.0,9
Ascot,3,2200.0,5,Diamond Scene,947876.0,54.0,7.0,Luke Campbell,16928,Ms D Riordan,Good,-8.2,mf,3.0,1.0,3yo+,BM66+,55.0,,Handicap,4.0,7.0,Gelding,0.3,1.0,4.4,3.03,1.0,9
Ascot,3,2200.0,6,Miss Intention,933429.0,53.5,3.0,Victora Corver,16468,Mitchell Pateman,Good,0.0,bm,9.0,6.0,3yo+,BM66+,55.0,,Handicap,6.0,41.0,Mare,0.2,2.0,8.0,10.21,4.0,9
Ascot,3,2200.0,7,Count Grundy,921469.0,52.0,8.0,Cassey Martinan,16738,Georgia Grant,Good,4.2,mf,2.0,7.0,3yo+,BM66+,55.0,,Handicap,6.0,25.0,Gelding,1.7,2.0,5.5,61.58,9.0,9
Ascot,3,2200.0,8,Hoist The Colours,934021.0,52.0,1.0,Ava Catarino,17159,G P Evans,Good,1.6,mf,1.0,4.0,3yo+,BM66+,55.0,,Handicap,6.0,32.0,Gelding,4.0,3.0,2.25,31.19,7.0,9
Ascot,3,2200.0,9,Mystery Moment,933910.0,53.0,6.0,Madi Derrick,16504,Sue Olive,Good,-8.2,bm,6.0,9.0,3yo+,BM66+,55.0,,Handicap,5.0,16.0,Mare,1.9,4.0,26.0,15.93,6.0,9
Ascot,4,1200.0,1,Civvy Street,932529.0,58.0,12.0,Madi Derrick,16504,S & J Casey,Good,13.4,mf/bm,10.0,5.0,4yo+,Rst 0 Met Win-LY,54.0,,Handicap,5.0,29.0,Gelding,7.4,7.0,6.5,41.27,10.0,12
Ascot,4,1200.0,2,Miss Vasari,915127.0,59.5,2.0,Chris Parnham,15179,M L Lane,Good,0.0,mf/bm,11.0,2.0,4yo+,Rst 0 Met Win-LY,54.0,,Handicap,6.0,26.0,Mare,1.3,2.0,7.0,11.35,5.0,12
Ascot,4,1200.0,3,On The Full,946978.0,56.0,7.0,Brayden Gaerth,15260,J P Taylor,Good,0.0,op,3.0,1.0,4yo+,Rst 0 Met Win-LY,54.0,,Handicap,5.0,14.0,Gelding,1.3,3.0,12.0,12.18,6.0,12
Ascot,4,1200.0,4,Here For Cheques,960013.0,58.0,10.0,Patrick Carbery,9877,B A Miller,Good,12.2,op,1.0,7.0,4yo+,Rst 0 Met Win-LY,54.0,,Handicap,4.0,6.0,Gelding,8.6,6.0,9.0,13.9,7.0,12
Ascot,4,1200.0,5,Serviceman,945826.0,57.0,5.0,P Harvey,3809,R C McPherson,Good,0.0,mf,8.0,12.0,4yo+,Rst 0 Met Win-LY,54.0,,Handicap,5.0,22.0,Gelding,2.8,8.0,101.0,64.73,11.0,12
